regiao,ordem,nome_original,novo_nome,categoria,largura,altura,origem_x,origem_y
regiao_01_glacial,109,regiao_01_glacial_item_109.webp,objeto da aldeia 011.webp,objeto da aldeia,76,64,877,967
regiao_01_glacial,110,regiao_01_glacial_item_110.webp,objeto da aldeia 012.webp,objeto da aldeia,44,48,968,970
regiao_01_glacial,111,regiao_01_glacial_item_111.webp,objeto da aldeia 013.webp,objeto da aldeia,43,61,1021,969
regiao_01_glacial,112,regiao_01_glacial_item_112.webp,objeto da aldeia 014.webp,objeto da aldeia,51,53,1076,967
regiao_01_glacial,113,regiao_01_glacial_item_113.webp,objeto da aldeia 015.webp,objeto da aldeia,39,42,1131,976
regiao_01_glacial,114,regiao_01_glacial_item_114.webp,pedra pequena 001.webp,pedra pequena,93,84,416,985
regiao_01_glacial,115,regiao_01_glacial_item_115.webp,pedra pequena 002.webp,pedra pequena,48,71,716,985
regiao_01_glacial,116,regiao_01_glacial_item_116.webp,pedra pequena 003.webp,pedra pequena,17,15,843,983
regiao_01_glacial,117,regiao_01_glacial_item_117.webp,pedra pequena 004.webp,pedra pequena,21,20,836,998
regiao_01_glacial,118,regiao_01_glacial_item_118.webp,pedra pequena 005.webp,pedra pequena,16,14,830,1016
regiao_01_glacial,119,regiao_01_glacial_item_119.webp,pedra pequena 006.webp,pedra pequena,60,164,1171,1015
regiao_01_glacial,120,regiao_01_glacial_item_120.webp,pedra pequena 007.webp,pedra pequena,27,21,366,1033
regiao_01_glacial,121,regiao_01_glacial_item_121.webp,pedra pequena 008.webp,pedra pequena,51,30,772,1030
regiao_01_glacial,122,regiao_01_glacial_item_122.webp,pedra pequena 009.webp,pedra pequena,29,24,827,1028
regiao_01_glacial,123,regiao_01_glacial_item_123.webp,poste de madeira 001.webp,poste de madeira,76,127,944,1031
regiao_01_glacial,124,regiao_01_glacial_item_124.webp,poste de madeira 002.webp,poste de madeira,71,115,1088,1035
regiao_01_glacial,125,regiao_01_glacial_item_125.webp,poste de madeira 003.webp,poste de madeira,44,127,887,1042
regiao_01_glacial,126,regiao_01_glacial_item_126.webp,poste de madeira 004.webp,poste de madeira,56,106,1026,1039
regiao_01_glacial,127,regiao_01_glacial_item_127.webp,caverna de gelo 004.webp,caverna de gelo,212,184,10,1065
regiao_01_glacial,128,regiao_01_glacial_item_128.webp,caverna de gelo 005.webp,caverna de gelo,189,173,225,1075
regiao_01_glacial,129,regiao_01_glacial_item_129.webp,cristal de gelo 008.webp,cristal de gelo,85,142,503,1081
regiao_01_glacial,130,regiao_01_glacial_item_130.webp,cristal de gelo 009.webp,cristal de gelo,56,80,694,1078
regiao_01_glacial,131,regiao_01_glacial_item_131.webp,cristal de gelo 010.webp,cristal de gelo,80,132,423,1092
regiao_01_glacial,132,regiao_01_glacial_item_132.webp,placa 001.webp,placa,35,33,596,1097
regiao_01_glacial,133,regiao_01_glacial_item_133.webp,placa 002.webp,placa,38,67,642,1087
regiao_01_glacial,134,regiao_01_glacial_item_134.webp,placa 003.webp,placa,106,123,763,1088
regiao_01_glacial,135,regiao_01_glacial_item_135.webp,placa 004.webp,placa,69,90,592,1143
regiao_01_glacial,136,regiao_01_glacial_item_136.webp,carroca 001.webp,carroca,112,98,1021,1157
regiao_01_glacial,137,regiao_01_glacial_item_137.webp,cristal de gelo 011.webp,cristal de gelo,69,64,674,1166
regiao_01_glacial,138,regiao_01_glacial_item_138.webp,totem 001.webp,totem,42,70,963,1168
regiao_01_glacial,139,regiao_01_glacial_item_139.webp,caixote 003.webp,caixote,66,72,1146,1173
regiao_01_glacial,140,regiao_01_glacial_item_140.webp,ninho de fogueira 001.webp,ninho de fogueira,50,44,907,1190
regiao_01_glacial,141,regiao_01_glacial_item_141.webp,balde 001.webp,balde,41,51,863,1195
regiao_02_floresta_ancestral,1,regiao_02_floresta_ancestral_item_001.webp,piso de floresta 001.webp,piso de floresta,79,80,9,8
regiao_02_floresta_ancestral,2,regiao_02_floresta_ancestral_item_002.webp,piso de floresta 002.webp,piso de floresta,79,80,84,8
regiao_02_floresta_ancestral,3,regiao_02_floresta_ancestral_item_003.webp,piso de floresta 003.webp,piso de floresta,79,80,159,8
regiao_02_floresta_ancestral,4,regiao_02_floresta_ancestral_item_004.webp,piso de floresta 004.webp,piso de floresta,79,78,234,8
regiao_02_floresta_ancestral,5,regiao_02_floresta_ancestral_item_005.webp,piso de floresta 005.webp,piso de floresta,79,79,309,8
regiao_02_floresta_ancestral,6,regiao_02_floresta_ancestral_item_006.webp,piso de floresta 006.webp,piso de floresta,79,80,384,8
regiao_02_floresta_ancestral,7,regiao_02_floresta_ancestral_item_007.webp,piso de floresta 007.webp,piso de floresta,80,80,459,8
regiao_02_floresta_ancestral,8,regiao_02_floresta_ancestral_item_008.webp,piso de floresta 008.webp,piso de floresta,78,80,534,8
regiao_02_floresta_ancestral,9,regiao_02_floresta_ancestral_item_009.webp,arvore florida 001.webp,arvore florida,82,77,629,9
regiao_02_floresta_ancestral,10,regiao_02_floresta_ancestral_item_010.webp,arvore florida 002.webp,arvore florida,74,67,713,15
regiao_02_floresta_ancestral,11,regiao_02_floresta_ancestral_item_011.webp,arvore florida 003.webp,arvore florida,81,73,788,12
regiao_02_floresta_ancestral,12,regiao_02_floresta_ancestral_item_012.webp,arvore florida 004.webp,arvore florida,76,72,871,12
regiao_02_floresta_ancestral,13,regiao_02_floresta_ancestral_item_013.webp,arvore florida 005.webp,arvore florida,75,68,948,15
regiao_02_floresta_ancestral,14,regiao_02_floresta_ancestral_item_014.webp,arvore florida 006.webp,arvore florida,76,71,1026,12
regiao_02_floresta_ancestral,15,regiao_02_floresta_ancestral_item_015.webp,arvore florida 007.webp,arvore florida,70,75,1099,8
regiao_02_floresta_ancestral,16,regiao_02_floresta_ancestral_item_016.webp,capim alto 001.webp,capim alto,67,67,1173,15
regiao_02_floresta_ancestral,17,regiao_02_floresta_ancestral_item_017.webp,terreno florido 001.webp,terreno florido,82,79,9,84
regiao_02_floresta_ancestral,18,regiao_02_floresta_ancestral_item_018.webp,terreno florido 002.webp,terreno florido,79,81,84,84
regiao_02_floresta_ancestral,19,regiao_02_floresta_ancestral_item_019.webp,terreno florido 003.webp,terreno florido,79,79,159,84
regiao_02_floresta_ancestral,20,regiao_02_floresta_ancestral_item_020.webp,terreno florido 004.webp,terreno florido,79,79,234,84
regiao_02_floresta_ancestral,21,regiao_02_floresta_ancestral_item_021.webp,terreno florido 005.webp,terreno florido,79,83,309,84
regiao_02_floresta_ancestral,22,regiao_02_floresta_ancestral_item_022.webp,terreno florido 006.webp,terreno florido,79,79,384,84
regiao_02_floresta_ancestral,23,regiao_02_floresta_ancestral_item_023.webp,terreno florido 007.webp,terreno florido,78,76,459,84
regiao_02_floresta_ancestral,24,regiao_02_floresta_ancestral_item_024.webp,terreno florido 008.webp,terreno florido,79,74,534,84
regiao_02_floresta_ancestral,25,regiao_02_floresta_ancestral_item_025.webp,arbusto florido 001.webp,arbusto florido,78,63,627,85
regiao_02_floresta_ancestral,26,regiao_02_floresta_ancestral_item_026.webp,arbusto florido 002.webp,arbusto florido,77,62,706,84
regiao_02_floresta_ancestral,27,regiao_02_floresta_ancestral_item_027.webp,arbusto florido 003.webp,arbusto florido,71,63,787,85
regiao_02_floresta_ancestral,28,regiao_02_floresta_ancestral_item_028.webp,arbusto florido 004.webp,arbusto florido,67,58,861,85
regiao_02_floresta_ancestral,29,regiao_02_floresta_ancestral_item_029.webp,arbusto florido 005.webp,arbusto florido,67,57,933,85
regiao_02_floresta_ancestral,30,regiao_02_floresta_ancestral_item_030.webp,arbusto florido 006.webp,arbusto florido,114,62,1094,85
regiao_02_floresta_ancestral,31,regiao_02_floresta_ancestral_item_031.webp,arbusto florido 007.webp,arbusto florido,84,49,1004,91
regiao_02_floresta_ancestral,32,regiao_02_floresta_ancestral_item_032.webp,arbusto florido 008.webp,arbusto florido,36,41,1213,94
regiao_02_floresta_ancestral,33,regiao_02_floresta_ancestral_item_033.webp,cogumelo magico 001.webp,cogumelo magico,56,61,632,150
regiao_02_floresta_ancestral,34,regiao_02_floresta_ancestral_item_034.webp,cogumelo magico 002.webp,cogumelo magico,56,66,699,148
regiao_02_floresta_ancestral,35,regiao_02_floresta_ancestral_item_035.webp,cogumelo magico 003.webp,cogumelo magico,61,66,764,149
regiao_02_floresta_ancestral,36,regiao_02_floresta_ancestral_item_036.webp,cogumelo magico 004.webp,cogumelo magico,59,66,838,149
regiao_02_floresta_ancestral,37,regiao_02_floresta_ancestral_item_037.webp,cogumelo magico 005.webp,cogumelo magico,64,70,906,146
regiao_02_floresta_ancestral,38,regiao_02_floresta_ancestral_item_038.webp,cogumelo magico 006.webp,cogumelo magico,66,62,979,150
regiao_02_floresta_ancestral,39,regiao_02_floresta_ancestral_item_039.webp,penhasco musgoso 001.webp,penhasco musgoso,83,68,1050,146
regiao_02_floresta_ancestral,40,regiao_02_floresta_ancestral_item_040.webp,penhasco musgoso 002.webp,penhasco musgoso,83,82,9,159
regiao_02_floresta_ancestral,41,regiao_02_floresta_ancestral_item_041.webp,penhasco musgoso 003.webp,penhasco musgoso,79,82,84,159
regiao_02_floresta_ancestral,42,regiao_02_floresta_ancestral_item_042.webp,penhasco musgoso 004.webp,penhasco musgoso,79,83,159,159
regiao_02_floresta_ancestral,43,regiao_02_floresta_ancestral_item_043.webp,penhasco musgoso 005.webp,penhasco musgoso,80,83,234,159
regiao_02_floresta_ancestral,44,regiao_02_floresta_ancestral_item_044.webp,penhasco musgoso 006.webp,penhasco musgoso,81,83,309,159
regiao_02_floresta_ancestral,45,regiao_02_floresta_ancestral_item_045.webp,penhasco musgoso 007.webp,penhasco musgoso,82,84,384,159
regiao_02_floresta_ancestral,46,regiao_02_floresta_ancestral_item_046.webp,cachoeira da floresta 001.webp,cachoeira da floresta,78,78,459,159
regiao_02_floresta_ancestral,47,regiao_02_floresta_ancestral_item_047.webp,cachoeira da floresta 002.webp,cachoeira da floresta,79,84,534,159
regiao_02_floresta_ancestral,48,regiao_02_floresta_ancestral_item_048.webp,cachoeira da floresta 003.webp,cachoeira da floresta,38,51,1135,151
regiao_02_floresta_ancestral,49,regiao_02_floresta_ancestral_item_049.webp,cachoeira da floresta 004.webp,cachoeira da floresta,39,44,1176,158
regiao_02_floresta_ancestral,50,regiao_02_floresta_ancestral_item_050.webp,cachoeira da floresta 005.webp,cachoeira da floresta,623,217,626,210
regiao_02_floresta_ancestral,51,regiao_02_floresta_ancestral_item_051.webp,cachoeira da floresta 006.webp,cachoeira da floresta,153,82,10,238
regiao_02_floresta_ancestral,52,regiao_02_floresta_ancestral_item_052.webp,cachoeira da floresta 007.webp,cachoeira da floresta,79,80,160,239
regiao_02_floresta_ancestral,53,regiao_02_floresta_ancestral_item_053.webp,cachoeira da floresta 008.webp,cachoeira da floresta,78,80,236,239
regiao_02_floresta_ancestral,54,regiao_02_floresta_ancestral_item_054.webp,cachoeira da floresta 009.webp,cachoeira da floresta,74,80,313,239
regiao_02_floresta_ancestral,55,regiao_02_floresta_ancestral_item_055.webp,cachoeira da floresta 010.webp,cachoeira da floresta,51,79,384,239
regiao_02_floresta_ancestral,56,regiao_02_floresta_ancestral_item_056.webp,agua da floresta 001.webp,agua da floresta,34,74,433,243
regiao_02_floresta_ancestral,57,regiao_02_floresta_ancestral_item_057.webp,agua da floresta 002.webp,agua da floresta,77,77,464,241
regiao_02_floresta_ancestral,58,regiao_02_floresta_ancestral_item_058.webp,agua da floresta 003.webp,agua da floresta,81,78,539,241
regiao_02_floresta_ancestral,59,regiao_02_floresta_ancestral_item_059.webp,agua da floresta 004.webp,agua da floresta,78,79,10,318
regiao_02_floresta_ancestral,60,regiao_02_floresta_ancestral_item_060.webp,agua da floresta 005.webp,agua da floresta,77,79,85,318
regiao_02_floresta_ancestral,61,regiao_02_floresta_ancestral_item_061.webp,agua da floresta 006.webp,agua da floresta,78,80,160,317
regiao_02_floresta_ancestral,62,regiao_02_floresta_ancestral_item_062.webp,agua da floresta 007.webp,agua da floresta,78,79,463,318
regiao_02_floresta_ancestral,63,regiao_02_floresta_ancestral_item_063.webp,agua da floresta 008.webp,agua da floresta,81,79,539,318
regiao_02_floresta_ancestral,64,regiao_02_floresta_ancestral_item_064.webp,agua da floresta 009.webp,agua da floresta,78,78,236,319
regiao_02_floresta_ancestral,65,regiao_02_floresta_ancestral_item_065.webp,agua da floresta 010.webp,agua da floresta,75,78,312,319
regiao_02_floresta_ancestral,66,regiao_02_floresta_ancestral_item_066.webp,coluna de pedra coberta de musgo 001.webp,coluna de pedra coberta de musgo,78,78,386,319
regiao_02_floresta_ancestral,67,regiao_02_floresta_ancestral_item_067.webp,coluna de pedra coberta de musgo 002.webp,coluna de pedra coberta de musgo,153,150,9,395
regiao_02_floresta_ancestral,68,regiao_02_floresta_ancestral_item_068.webp,coluna de pedra coberta de musgo 003.webp,coluna de pedra coberta de musgo,78,152,160,394
regiao_02_floresta_ancestral,69,regiao_02_floresta_ancestral_item_069.webp,coluna de pedra coberta de musgo 004.webp,coluna de pedra coberta de musgo,78,150,236,395
regiao_02_floresta_ancestral,70,regiao_02_floresta_ancestral_item_070.webp,coluna de pedra coberta de musgo 005.webp,coluna de pedra coberta de musgo,77,150,312,395
regiao_02_floresta_ancestral,71,regiao_02_floresta_ancestral_item_071.webp,rocha coberta de musgo 001.webp,rocha coberta de musgo,78,71,386,396
regiao_02_floresta_ancestral,72,regiao_02_floresta_ancestral_item_072.webp,rocha coberta de musgo 002.webp,rocha coberta de musgo,77,71,463,395
regiao_02_floresta_ancestral,73,regiao_02_floresta_ancestral_item_073.webp,rocha coberta de musgo 003.webp,rocha coberta de musgo,81,72,539,394
regiao_02_floresta_ancestral,74,regiao_02_floresta_ancestral_item_074.webp,casa da floresta 001.webp,casa da floresta,264,168,813,422
regiao_02_floresta_ancestral,75,regiao_02_floresta_ancestral_item_075.webp,casa da floresta 002.webp,casa da floresta,186,167,626,430
regiao_02_floresta_ancestral,76,regiao_02_floresta_ancestral_item_076.webp,casa da floresta 003.webp,casa da floresta,147,260,1095,437
regiao_02_floresta_ancestral,77,regiao_02_floresta_ancestral_item_077.webp,casa da floresta 004.webp,casa da floresta,78,80,386,466
regiao_02_floresta_ancestral,78,regiao_02_floresta_ancestral_item_078.webp,casa da floresta 005.webp,casa da floresta,76,77,464,467
regiao_02_floresta_ancestral,79,regiao_02_floresta_ancestral_item_079.webp,casa da floresta 006.webp,casa da floresta,80,80,539,466
regiao_02_floresta_ancestral,80,regiao_02_floresta_ancestral_item_080.webp,estrutura de madeira 001.webp,estrutura de madeira,205,102,326,544
regiao_02_floresta_ancestral,81,regiao_02_floresta_ancestral_item_081.webp,estrutura de madeira 002.webp,estrutura de madeira,151,105,12,548
regiao_02_floresta_ancestral,82,regiao_02_floresta_ancestral_item_082.webp,estrutura de madeira 003.webp,estrutura de madeira,122,106,179,547
regiao_02_floresta_ancestral,83,regiao_02_floresta_ancestral_item_083.webp,estrutura de madeira 004.webp,estrutura de madeira,79,106,540,547
regiao_02_floresta_ancestral,84,regiao_02_floresta_ancestral_item_084.webp,estrutura de madeira 005.webp,estrutura de madeira,146,146,808,580
regiao_02_floresta_ancestral,85,regiao_02_floresta_ancestral_item_085.webp,estrutura de madeira 006.webp,estrutura de madeira,129,95,953,582
regiao_02_floresta_ancestral,86,regiao_02_floresta_ancestral_item_086.webp,estrutura de madeira 007.webp,estrutura de madeira,111,140,628,590
